,cluster1,cluster2,cluster3
2014,36.0,29.0,29.0
2015,36.0,29.0,29.0
2016,36.0,29.0,29.0
2017,36.0,29.0,29.0
2018,36.0,29.0,29.0
2019,36.0,29.0,29.0
2020,24.0,13.0,16.0
2021,36.0,28.0,28.0
2022,36.0,28.0,28.0
2024,36.0,22.0,28.0
2027,35.0,26.0,29.0
2029,36.0,27.0,27.0
2031,35.0,20.0,24.0
2032,35.0,17.0,26.0
2033,34.0,17.0,22.0
2034,32.0,17.0,24.0
2036,33.0,20.0,24.0
2037,35.0,29.0,29.0
2038,36.0,28.0,29.0
2039,35.0,21.0,25.0
2045,31.0,18.0,22.0
2047,35.0,21.0,25.0
2052,31.0,16.0,19.0
2053,34.0,19.0,25.0
2057,34.0,18.0,26.0
2060,23.0,14.0,17.0
2063,25.0,16.0,21.0
2071,36.0,29.0,29.0
2072,33.0,16.0,22.0
2074,35.0,24.0,29.0
2077,36.0,29.0,29.0
2079,36.0,24.0,28.0
2080,35.0,24.0,27.0
2082,36.0,28.0,29.0
2083,36.0,28.0,27.0
2085,35.0,28.0,28.0
2088,29.0,13.0,21.0
2090,31.0,17.0,24.0
2104,22.0,10.0,12.0
2107,36.0,26.0,28.0
2109,36.0,25.0,28.0
2111,34.0,20.0,23.0
2112,33.0,20.0,22.0
2114,35.0,20.0,24.0
2116,34.0,20.0,24.0
2118,29.0,20.0,24.0
2119,32.0,17.0,23.0
2120,36.0,24.0,26.0
2123,35.0,29.0,27.0
2124,36.0,29.0,29.0
2125,36.0,29.0,29.0
2126,36.0,29.0,29.0
2127,36.0,29.0,29.0
2128,36.0,29.0,29.0
2129,35.0,27.0,25.0
2130,36.0,29.0,29.0
2131,36.0,29.0,29.0
2132,36.0,29.0,29.0
2133,36.0,29.0,29.0
2134,36.0,29.0,29.0
2135,36.0,29.0,29.0
2136,36.0,29.0,29.0
2137,34.0,27.0,28.0
2138,35.0,22.0,22.0
2140,34.0,19.0,25.0
2143,34.0,15.0,20.0
2145,35.0,24.0,29.0
2148,35.0,19.0,24.0
2149,36.0,18.0,24.0
2151,32.0,16.0,25.0
2153,31.0,16.0,19.0
2157,34.0,24.0,25.0
2158,35.0,25.0,24.0
2160,34.0,17.0,22.0
2161,36.0,27.0,29.0
2165,35.0,27.0,29.0
2166,36.0,26.0,29.0
2168,33.0,15.0,23.0
2169,32.0,12.0,21.0
2172,30.0,14.0,16.0
2175,35.0,18.0,24.0
2176,36.0,28.0,29.0
2179,34.0,25.0,26.0
2184,35.0,22.0,27.0
2186,36.0,27.0,29.0
2187,34.0,20.0,26.0
2188,35.0,25.0,27.0
2194,34.0,18.0,25.0
2196,35.0,19.0,26.0
2205,30.0,18.0,21.0
2206,33.0,18.0,23.0
2221,35.0,24.0,26.0
2222,36.0,30.0,29.0
2224,30.0,19.0,19.0
2225,32.0,15.0,21.0
2233,32.0,21.0,23.0
2234,36.0,29.0,29.0
2235,36.0,29.0,28.0
2236,36.0,29.0,29.0
2237,35.0,25.0,27.0
2238,36.0,29.0,29.0
2239,36.0,29.0,29.0
2240,36.0,28.0,29.0
2241,36.0,28.0,28.0
2242,36.0,28.0,29.0
2243,34.0,28.0,28.0
2244,36.0,28.0,29.0
2245,35.0,26.0,29.0
2246,35.0,29.0,29.0
2247,35.0,26.0,29.0
2248,36.0,29.0,29.0
2249,35.0,29.0,29.0
2250,34.0,29.0,28.0
2251,36.0,29.0,29.0
2252,35.0,25.0,29.0
2253,36.0,28.0,29.0
2254,36.0,29.0,29.0
2255,36.0,28.0,29.0
2257,35.0,22.0,26.0
2259,36.0,24.0,28.0
2261,34.0,23.0,25.0
2264,33.0,18.0,23.0
2266,35.0,23.0,26.0
2269,35.0,22.0,27.0
2270,36.0,30.0,29.0
2271,36.0,24.0,27.0
2272,36.0,29.0,29.0
2285,30.0,15.0,15.0
2300,34.0,29.0,27.0
2312,28.0,14.0,19.0
2313,18.0,9.0,11.0
2326,30.0,16.0,19.0
2328,33.0,16.0,25.0
2330,33.0,17.0,24.0
2331,20.0,9.0,9.0
2332,36.0,24.0,25.0
2333,36.0,27.0,29.0
2335,36.0,29.0,29.0
2336,36.0,29.0,29.0
2337,36.0,29.0,29.0
2338,36.0,28.0,29.0
2339,36.0,29.0,29.0
2340,36.0,28.0,28.0
2341,36.0,29.0,29.0
2342,36.0,29.0,29.0
2343,36.0,30.0,29.0
2344,36.0,29.0,29.0
2345,36.0,29.0,29.0
2346,36.0,29.0,29.0
2347,35.0,30.0,29.0
2348,36.0,29.0,29.0
2349,36.0,29.0,29.0
2350,36.0,29.0,29.0
2351,36.0,29.0,29.0
2352,34.0,29.0,28.0
2353,36.0,29.0,29.0
2354,36.0,29.0,29.0
2355,35.0,28.0,29.0
2356,36.0,29.0,29.0
2357,36.0,28.0,29.0
2358,36.0,29.0,29.0
2359,36.0,28.0,29.0
2360,36.0,29.0,29.0
2361,36.0,29.0,29.0
2362,36.0,29.0,29.0
2363,36.0,28.0,28.0
2364,36.0,28.0,29.0
2365,34.0,28.0,29.0
2366,36.0,29.0,29.0
2367,36.0,29.0,29.0
2368,36.0,29.0,29.0
2369,36.0,29.0,29.0
2372,33.0,19.0,24.0
2373,34.0,19.0,25.0
2375,33.0,20.0,23.0
2376,34.0,20.0,24.0
2377,21.0,9.0,8.0
2378,36.0,30.0,29.0
2379,30.0,21.0,19.0
2380,35.0,27.0,25.0
2383,36.0,19.0,26.0
2385,34.0,21.0,25.0
2386,35.0,20.0,26.0
2387,35.0,21.0,26.0
2392,35.0,16.0,26.0
2394,36.0,27.0,26.0
2396,35.0,21.0,24.0
2398,28.0,12.0,16.0
2400,35.0,19.0,27.0
2402,31.0,18.0,26.0
2403,34.0,25.0,28.0
2404,34.0,22.0,25.0
2405,35.0,23.0,26.0
2406,36.0,27.0,27.0
2410,34.0,24.0,28.0
2416,36.0,30.0,29.0
2419,28.0,15.0,17.0
2420,35.0,19.0,25.0
2421,34.0,16.0,26.0
2423,33.0,16.0,20.0
2425,32.0,17.0,21.0
2431,30.0,14.0,20.0
2432,34.0,18.0,25.0
2433,18.0,18.0,12.0
2434,36.0,29.0,29.0
2435,31.0,23.0,23.0
2437,34.0,16.0,23.0
2439,34.0,24.0,25.0
2440,34.0,23.0,28.0
2442,33.0,17.0,25.0
2443,35.0,28.0,28.0
2444,34.0,25.0,28.0
2446,30.0,17.0,19.0
2454,33.0,19.0,24.0
2456,33.0,18.0,22.0
2457,35.0,25.0,27.0
2458,17.0,10.0,10.0
2461,34.0,19.0,28.0
2465,31.0,15.0,22.0
2466,30.0,15.0,20.0
2467,35.0,26.0,27.0
2474,21.0,13.0,12.0
2476,33.0,16.0,19.0
2477,35.0,26.0,20.0
2478,34.0,24.0,28.0
2479,31.0,18.0,23.0
2480,34.0,18.0,26.0
2484,34.0,17.0,23.0
2486,33.0,23.0,27.0
2487,34.0,15.0,23.0
2493,35.0,22.0,26.0
2497,34.0,29.0,28.0
2499,35.0,28.0,29.0
2500,35.0,26.0,27.0
2501,35.0,26.0,28.0
2503,34.0,23.0,27.0
2505,34.0,19.0,23.0
2506,35.0,27.0,28.0
2510,31.0,21.0,22.0
2512,33.0,24.0,23.0
2513,31.0,16.0,13.0
2514,34.0,26.0,28.0
2515,35.0,25.0,25.0
2519,27.0,17.0,19.0
2526,35.0,23.0,26.0
