Sample	command
V350082740_L14_73-73_1	fastp -i V350082740_L14_73-73_1.fq.gz -I V350082740_L14_73-73_2.fq.gz -o fastp/V350082740_L14_73-73_clean_PE1.fastq.gz -O fastp/V350082740_L14_73-73_clean_PE2.fastq.gz -h fastp/V350082740_L14_73-73_fastp.html -j fastp/V350082740_L14_73-73_fastp.json 
V350082740_L14_74-74_1	fastp -i V350082740_L14_74-74_1.fq.gz -I V350082740_L14_74-74_2.fq.gz -o fastp/V350082740_L14_74-74_clean_PE1.fastq.gz -O fastp/V350082740_L14_74-74_clean_PE2.fastq.gz -h fastp/V350082740_L14_74-74_fastp.html -j fastp/V350082740_L14_74-74_fastp.json 
V350082740_L14_75-75_1	fastp -i V350082740_L14_75-75_1.fq.gz -I V350082740_L14_75-75_2.fq.gz -o fastp/V350082740_L14_75-75_clean_PE1.fastq.gz -O fastp/V350082740_L14_75-75_clean_PE2.fastq.gz -h fastp/V350082740_L14_75-75_fastp.html -j fastp/V350082740_L14_75-75_fastp.json 
V350082740_L14_76-76_1	fastp -i V350082740_L14_76-76_1.fq.gz -I V350082740_L14_76-76_2.fq.gz -o fastp/V350082740_L14_76-76_clean_PE1.fastq.gz -O fastp/V350082740_L14_76-76_clean_PE2.fastq.gz -h fastp/V350082740_L14_76-76_fastp.html -j fastp/V350082740_L14_76-76_fastp.json 
V350082740_L14_77-77_1	fastp -i V350082740_L14_77-77_1.fq.gz -I V350082740_L14_77-77_2.fq.gz -o fastp/V350082740_L14_77-77_clean_PE1.fastq.gz -O fastp/V350082740_L14_77-77_clean_PE2.fastq.gz -h fastp/V350082740_L14_77-77_fastp.html -j fastp/V350082740_L14_77-77_fastp.json 
V350082740_L14_78-78_1	fastp -i V350082740_L14_78-78_1.fq.gz -I V350082740_L14_78-78_2.fq.gz -o fastp/V350082740_L14_78-78_clean_PE1.fastq.gz -O fastp/V350082740_L14_78-78_clean_PE2.fastq.gz -h fastp/V350082740_L14_78-78_fastp.html -j fastp/V350082740_L14_78-78_fastp.json 
V350082740_L14_79-79_1	fastp -i V350082740_L14_79-79_1.fq.gz -I V350082740_L14_79-79_2.fq.gz -o fastp/V350082740_L14_79-79_clean_PE1.fastq.gz -O fastp/V350082740_L14_79-79_clean_PE2.fastq.gz -h fastp/V350082740_L14_79-79_fastp.html -j fastp/V350082740_L14_79-79_fastp.json 
V350082740_L14_80-80_1	fastp -i V350082740_L14_80-80_1.fq.gz -I V350082740_L14_80-80_2.fq.gz -o fastp/V350082740_L14_80-80_clean_PE1.fastq.gz -O fastp/V350082740_L14_80-80_clean_PE2.fastq.gz -h fastp/V350082740_L14_80-80_fastp.html -j fastp/V350082740_L14_80-80_fastp.json 
V350082740_L14_81-81_1	fastp -i V350082740_L14_81-81_1.fq.gz -I V350082740_L14_81-81_2.fq.gz -o fastp/V350082740_L14_81-81_clean_PE1.fastq.gz -O fastp/V350082740_L14_81-81_clean_PE2.fastq.gz -h fastp/V350082740_L14_81-81_fastp.html -j fastp/V350082740_L14_81-81_fastp.json 
V350082740_L14_82-82_1	fastp -i V350082740_L14_82-82_1.fq.gz -I V350082740_L14_82-82_2.fq.gz -o fastp/V350082740_L14_82-82_clean_PE1.fastq.gz -O fastp/V350082740_L14_82-82_clean_PE2.fastq.gz -h fastp/V350082740_L14_82-82_fastp.html -j fastp/V350082740_L14_82-82_fastp.json 
